Address,Status geocode,Formatted address,Latitude,Longitude,Type,Location Type,Country,Region,Crop,Nitrogen - High,Nitrogen - Medium,Nitrogen - Low,Phosphorous - High,Phosphorous - Medium,Phosphorous - Low,Potassium - High,Potassium - Medium,Potassium - Low,pH - Acidic,pH - Neutral,pH - Alkaline, 
"Mysuru, Karnataka",Ok,"Mysuru, Karnataka, India",12.2958104,76.6393805,"locality, political",APPROXIMATE,India,Karnataka,"Paddy, Ragi, Cotton",0%,0.55%,99.45%,79.76%,16.78%,3.45%,46.58%,40.36%,13.06%,9.11%,90.84%,0.05%,
"Raichur, Karnataka",Ok,"Raichur, Karnataka, India",16.216018,77.3565608,"locality, political",APPROXIMATE,India,Karnataka,"Paddy, Cotton, Groundnut",0.01%,0.18%,99.82%,3.76%,92.94%,3.31%,0.12%,93.21%,6.68%,0.22%,97.52%,2.26%,
"Ramanagara, Karnataka",Ok,"Ramanagara, Karnataka 562159, India",12.7208614,77.2798963,"locality, political",APPROXIMATE,India,Karnataka,"Ragi, Vegetables, Sericulture",0.04%,78.58%,21.38%,75.32%,18.84%,5.83%,13.23%,60.57%,26.21%,13.24%,86.67%,0.09%,
"Shivamogga, Karnataka",Ok,"Shivamogga, Karnataka, India",13.9299299,75.568101,"locality, political",APPROXIMATE,India,Karnataka,"Arecanut, Paddy, Pepper",2.73%,20.06%,77.21%,48.30%,27.22%,24.47%,49.73%,41.79%,8.48%,16.21%,83.71%,0.07%,
"Tumakuru, Karnataka",Ok,"Tumakuru, Karnataka, India",13.3378762,77.117325,"locality, political",APPROXIMATE,India,Karnataka,"Ragi, Groundnut, Sunflower",0.13%,17.79%,82.09%,64.40%,30.02%,5.58%,35.15%,49.38%,15.47%,1.43%,98.46%,0.10%,
"Udupi, Karnataka",Ok,"Udupi, Karnataka, India",13.3408807,74.7421427,"locality, political",APPROXIMATE,India,Karnataka,"Paddy, Coconut, Arecanut",1.85%,42.81%,55.33%,60.75%,18.75%,20.50%,22.13%,45.17%,32.70%,84.85%,15.14%,0.02%,
"Uttara Kannada, Karnataka",Ok,"Uttara Kannada, Karnataka, India",14.7937065,74.6868815,"administrative_area_level_3, political",APPROXIMATE,India,Karnataka,"Paddy, Arecanut, Coconut",0%,18.30%,81.70%,42.66%,31.36%,25.99%,30.44%,24.92%,44.64%,16.19%,83.77%,0.04%,
"Vijayapura, Karnataka",Ok,"Vijayapura, Karnataka, India",16.8301708,75.710031,"locality, political",APPROXIMATE,India,Karnataka,"Sugarcane, Grape, Jowar",0.72%,0.74%,98.54%,86.03%,13.88%,0.08%,42.98%,52.78%,4.24%,0.29%,91.13%,8.59%,
"Yadgir, Karnataka",Ok,"Yadgiri, Karnataka, India",16.7625516,77.1442251,"locality, political",APPROXIMATE,India,Karnataka,"Paddy, Red Gram, Cotton",0.22%,17.12%,82.66%,68.56%,30.06%,1.38%,89.38%,9.51%,1.11%,0.20%,95.41%,4.39%,
"Bishnupur, Manipur","2 found, use single geocode.","Bishnupur, Manipur 795126, India",24.6303603,93.7598288,"locality, political",APPROXIMATE,India,Manipur,"Paddy, Maize, Vegetables",,,,,,,,,,,,,
"Chandel, Manipur",Ok,"Chandel, Manipur 795127, India",24.3320104,94.0007254,"locality, political",APPROXIMATE,India,Manipur,"Maize, Ginger, Pineapple, Turmeric",,,,,,,,,,,,,
"Churachandpur, Manipur",Ok,"Churachandpur, Manipur 795128, India",24.3460416,93.6999733,"locality, political",APPROXIMATE,India,Manipur,"Maize, Ginger, Tapioca, Paddy",0%,7.44%,92.56%,5.85%,90.15%,4%,0.30%,6.82%,92.88%,27.27%,57.34%,15.38%,
"Imphal East, Manipur",Ok,"Imphal East, Manipur, India",24.8027256,94.028678,"administrative_area_level_3, political",APPROXIMATE,India,Manipur,"Paddy, Potato, Mustard, Cabbage",,,,,,,,,,,,,
"Imphal West, Manipur",Ok,"Imphal West, Manipur, India",24.7827837,93.8858955,"administrative_area_level_3, political",APPROXIMATE,India,Manipur,"Paddy, Potato, Pea, Mustard",,,,,,,,,,,,,
"Jiribam, Manipur",Ok,"Jiribam, Manipur, India",24.807552,93.1135292,"locality, political",APPROXIMATE,India,Manipur,"Paddy, Maize, Vegetables (Tomato, Brinjal)",,,,,,,,,,,,,
"Kakching, Manipur",Ok,"Kakching, Manipur 795103, India",24.4975384,93.9863211,"locality, political",APPROXIMATE,India,Manipur,"Paddy, Mustard, Pea, Cauliflower",,,,,,,,,,,,,
"Kamjong, Manipur",Ok,"Kamjong, Manipur 795145, India",24.8615272,94.5106475,"locality, political",APPROXIMATE,India,Manipur,"Maize, Ginger, Tapioca, Upland Rice",,,,,,,,,,,,,
"Kangpokpi, Manipur",Ok,"Kangpokpi, Manipur 795129, India",25.1519197,93.969963,"locality, political",APPROXIMATE,India,Manipur,"Maize, Ginger, Upland Rice, Chilli",,,,,,,,,,,,,
"Noney, Manipur","2 found, use single geocode.","Noney, Manipur, India",24.8546947,93.6167146,"locality, political",APPROXIMATE,India,Manipur,"Maize, Turmeric, Tapioca, Upland Rice",,,,,,,,,,,,,
"Pherzawl, Manipur","2 found, use single geocode.","Pherzawl, Manipur 795143, India",24.2620677,93.1887296,"locality, political",APPROXIMATE,India,Manipur,"Maize, Paddy, Pineapple, Ginger",,,,,,,,,,,,,
"Senapati, Manipur","2 found, use single geocode.","Senapati, Manipur, India",25.2729769,94.0266087,"locality, political",APPROXIMATE,India,Manipur,"Maize, Paddy, Potato, Mustard",,,,,,,,,,,,,
"Tamenglong, Manipur",Ok,"Tamenglong, Manipur 795141, India",24.9897661,93.5011835,"locality, political",APPROXIMATE,India,Manipur,"Oranges, Pineapple, Banana, Upland Rice",,,,,,,,,,,,,
"Tengnoupal, Manipur",Ok,"Tengnoupal, Manipur 795131, India",24.3869025,94.1475623,"locality, political",APPROXIMATE,India,Manipur,"Maize, Ginger, Paddy, Tapioca",,,,,,,,,,,,,
"Thoubal, Manipur",Ok,"Thoubal, Manipur, India",24.6415766,93.9991818,"locality, political",APPROXIMATE,India,Manipur,"Paddy, Mustard, Pea, Cauliflower",,,,,,,,,,,,,
"Ukhrul, Manipur",Ok,"Ukhrul, Manipur 795142, India",25.0967563,94.3617273,"locality, political",APPROXIMATE,India,Manipur,"Potato, Maize, Cabbage, Ginger",,,,,,,,,,,,,
"East Garo Hills, Meghalaya",Ok,"East Garo Hills, Meghalaya, India",25.5671692,90.5257823,"administrative_area_level_3, political",APPROXIMATE,India,Meghalaya,"Arecanut, Cashewnut, Pineapple, Rice",0%,71.67%,28.33%,0%,23.51%,76.49%,0%,93.11%,6.89%,10.47%,89.53%,0%,
"East Jaintia Hills, Meghalaya",Ok,"East Jaintia Hills, Meghalaya, India",25.3100768,92.4999918,"administrative_area_level_3, political",APPROXIMATE,India,Meghalaya,"Turmeric, Rice, Ginger, Black Pepper",0%,100%,0%,0%,55.56%,44.44%,0%,88.89%,11.11%,44.44%,55.56%,0%,
"East Khasi Hills, Meghalaya",Ok,"East Khasi Hills, Meghalaya, India",25.3681768,91.7538817,"administrative_area_level_3, political",APPROXIMATE,India,Meghalaya,"Potato, Ginger, Rice, Vegetables",0.98%,25.74%,73.28%,35.78%,42.61%,21.61%,18.00%,27.63%,54.37%,57.30%,42.70%,0%,
"North Garo Hills, Meghalaya",Ok,"North Garo Hills, Meghalaya, India",25.8270321,90.658333,"administrative_area_level_3, political",APPROXIMATE,India,Meghalaya,"Arecanut, Banana, Maize, Rice",0.15%,35.69%,64.16%,1.46%,39.17%,59.37%,1.31%,87.46%,11.22%,39.67%,60.25%,0.07%,
"Ri-Bhoi, Meghalaya",Ok,"Ri Bhoi, Meghalaya, India",25.9321374,92.0665197,"administrative_area_level_3, political",APPROXIMATE,India,Meghalaya,"Pineapple, Tomato, Ginger, Rice",0.23%,21.58%,78.19%,23.07%,30.25%,46.68%,40.68%,38.14%,21.19%,51.84%,48.12%,0.04%,
"South Garo Hills, Meghalaya",Ok,"South Garo Hills, Meghalaya, India",25.3300969,90.563609,"administrative_area_level_3, political",APPROXIMATE,India,Meghalaya,"Cashewnut, Maize, Rice, Tapioca",4.37%,79.82%,15.81%,0.15%,32.83%,67.02%,0%,91.49%,8.51%,53.02%,46.98%,0%,
"South West Garo Hills, Meghalaya",Ok,"South West Garo Hills, Meghalaya, India",25.4259627,89.9626799,"administrative_area_level_3, political",APPROXIMATE,India,Meghalaya,"Arecanut, Banana, Maize, Ginger",2.43%,59.28%,38.29%,0.07%,34.14%,65.79%,2.43%,73.42%,24.14%,52.61%,47.32%,0.07%,
"South West Khasi Hills, Meghalaya",Ok,"South West Khasi Hills, Meghalaya, India",25.3258908,91.2506002,"administrative_area_level_3, political",APPROXIMATE,India,Meghalaya,"Ginger, Potato, Turmeric, Rice",0%,35.14%,64.86%,46.22%,40.27%,13.51%,6.74%,47.44%,45.82%,37.30%,62.70%,0%,
"West Garo Hills, Meghalaya",Ok,"West Garo Hills, Meghalaya, India",25.7573475,90.2244662,"administrative_area_level_3, political",APPROXIMATE,India,Meghalaya,"Cashewnut, Arecanut, Maize, Rice",2.00%,72.38%,25.62%,0.44%,36.39%,63.17%,1.25%,82.82%,15.93%,43.97%,56.03%,0%,
"West Jaintia Hills, Meghalaya",Ok,"West Jaintia Hills, Meghalaya, India",25.5488415,92.3813621,"administrative_area_level_3, political",APPROXIMATE,India,Meghalaya,"Rice, Turmeric, Ginger, Black Pepper",0.20%,81.93%,17.87%,16%,39.20%,44.80%,0.80%,79%,20.20%,95.74%,4.26%,0%,
"West Khasi Hills, Meghalaya",Ok,"West Khasi Hills, Meghalaya, India",25.5624625,91.2891036,"administrative_area_level_3, political",APPROXIMATE,India,Meghalaya,"Ginger, Potato, Maize, Rice",1.63%,28.66%,69.71%,27.42%,46.55%,26.03%,35.76%,41.10%,23.14%,50.19%,49.81%,0%,
"Aizawl, Mizoram",Ok,"Aizawl, Mizoram, India",23.7307175,92.7173106,"locality, political",APPROXIMATE,India,Mizoram,"Banana, Pineapple, Ginger, Rice",0%,2.19%,97.81%,1.84%,94.04%,4.12%,0.26%,37.72%,62.02%,70.56%,29.44%,0%,
"Champhai, Mizoram",Ok,"Champhai, Mizoram 796321, India",23.4775158,93.3236697,"locality, political",APPROXIMATE,India,Mizoram,"Grape, Rice, Cabbage, Ginger",0%,1.43%,98.57%,17.86%,80.12%,2.02%,2.98%,39.57%,57.45%,67.02%,32.98%,0%,
"Hnahthial, Mizoram",Ok,"Hnahthial, Mizoram 796571, India",22.9664136,92.9267853,"locality, political",APPROXIMATE,India,Mizoram,"Ginger, Turmeric, Rice, Pineapple",0%,0%,100%,0%,61.54%,38.46%,0%,15.38%,84.62%,7.69%,92.31%,0%,
"Khawzawl, Mizoram","2 found, use single geocode.","Khawzawl, Mizoram 796310, India",23.5196404,93.1871877,"locality, political",APPROXIMATE,India,Mizoram,"Ginger, Rice, Maize, Vegetables",0%,0%,100%,25%,70%,5%,0%,30%,70%,15%,85%,0%,
"Kolasib, Mizoram",Ok,"Kolasib, Mizoram, India",24.2252057,92.6777587,"locality, political",APPROXIMATE,India,Mizoram,"Banana, Pineapple, Maize, Ginger",2.26%,46.36%,51.37%,61.00%,37.81%,1.19%,63.97%,31.39%,4.64%,33.81%,66.19%,0%,
"Lawngtlai, Mizoram","2 found, use single geocode.","Lawngtlai, Mizoram 796891, India",22.5320875,92.8990711,"locality, political",APPROXIMATE,India,Mizoram,"Rice, Maize, Tapioca, Ginger",0%,0%,100%,0.93%,15.42%,83.64%,0%,3.27%,96.73%,48.94%,51.06%,0%,
"Lunglei, Mizoram",Ok,"Lunglei, Mizoram, India",22.8889908,92.7455429,"locality, political",APPROXIMATE,India,Mizoram,"Banana, Ginger, Rice, Vegetables",0%,0%,100%,0.72%,41.62%,57.67%,0.10%,25.26%,74.64%,38.08%,61.80%,0.12%,
"Mamit, Mizoram",Ok,"Mamit, Mizoram 796441, India",23.9283961,92.490728,"locality, political",APPROXIMATE,India,Mizoram,"Turmeric, Banana, Maize, Ginger",0.44%,50.76%,48.80%,0.54%,95.11%,4.35%,51.14%,41.75%,7.10%,41.61%,58.29%,0.10%,
"Saitual, Mizoram","3 found, use single geocode.","Saitual, Mizoram 796261, India",23.6922467,92.9654146,"locality, political",APPROXIMATE,India,Mizoram,"Maize, Ginger, Rice, Vegetables",0.07%,3.23%,96.70%,0.92%,96.83%,2.24%,0%,29.90%,70.10%,50.53%,49.47%,0%,
"Serchhip, Mizoram",Ok,"Serchhip, Mizoram 796181, India",23.311308,92.8564098,"locality, political",APPROXIMATE,India,Mizoram,"Ginger, Rice, Cabbage, Tomato",0%,5.29%,94.71%,26.32%,69.47%,4.21%,0.65%,6.36%,92.99%,42.39%,57.61%,0%,
"Chümoukedima, Nagaland",Ok,"Chümoukedima, Dimapur, Nagaland, India",25.8040595,93.7540835,"political, sublocality, sublocality_level_1",APPROXIMATE,India,Nagaland,"Paddy, Maize, Ginger, Pineapple",0.95%,42.59%,56.46%,16.87%,65.59%,17.54%,29.20%,63.02%,7.78%,61.58%,38.42%,0%,
"Dimapur, Nagaland",Ok,"Dimapur, Nagaland, India",25.9091406,93.7265605,"locality, political",APPROXIMATE,India,Nagaland,"Paddy, Maize, Mustard, Banana",1.44%,46.98%,51.58%,3.55%,79.48%,16.97%,21.73%,58.61%,19.65%,70.50%,29.24%,0.26%,
"Kiphire, Nagaland",Ok,"Kiphire, Nagaland 798611, India",25.8683014,94.7857071,"locality, political",APPROXIMATE,India,Nagaland,"Maize, Millet, Ginger, Orange",1.89%,68.35%,29.75%,67.07%,32.58%,0.35%,19.47%,66.02%,14.51%,66.88%,33.09%,0.03%,
"Kohima, Nagaland",Ok,"Kohima, Nagaland, India",25.6751129,94.1085998,"locality, political",APPROXIMATE,India,Nagaland,"Paddy, Maize, Ginger, Potato",0.24%,53.65%,46.11%,24.51%,56.73%,18.76%,10.08%,34.26%,55.66%,81.14%,18.81%,0.04%,
"Longleng, Nagaland",Ok,"Longleng, Nagaland 798625, India",26.4876945,94.8165389,"locality, political",APPROXIMATE,India,Nagaland,"Rice, Maize, Yam, Chilli",24.89%,62.62%,12.49%,43.43%,42.12%,14.45%,30.18%,67.26%,2.57%,91.94%,8.06%,0%,
"Mokokchung, Nagaland",Ok,"Mokokchung, Nagaland, India",26.3210313,94.5147156,"locality, political",APPROXIMATE,India,Nagaland,"Paddy, Maize, Orange, Ginger",0.09%,66.53%,33.38%,11.28%,41.77%,46.95%,14.27%,50.55%,35.19%,99.06%,0.93%,0.01%,
"Mon, Nagaland",Ok,"Mon Village, Nagaland 798621, India",26.733096,95.0615119,"locality, political",APPROXIMATE,India,Nagaland,"Maize, Millet, Ginger, Orange",5.16%,81.07%,13.78%,42.48%,56.58%,0.94%,5.23%,84.91%,9.86%,82.38%,17.62%,0%,
"Niuland, Nagaland",Ok,"Niuland, Nagaland 797109, India",25.908945,93.989929,"locality, political",APPROXIMATE,India,Nagaland,"Paddy, Maize, Mustard, Banana",0.89%,49.88%,49.23%,4.11%,56.89%,39.00%,45.37%,50.77%,3.87%,69.78%,30.22%,0%,
"Noklak, Nagaland",Ok,"Noklak, Nagaland 798626, India",26.2038991,95.0184302,"locality, political",APPROXIMATE,India,Nagaland,"Millet, Maize, Ginger, Tapioca",0.18%,44.84%,54.98%,2.73%,78.65%,18.62%,10.15%,85.67%,4.18%,35.92%,63.97%,0.11%,
"Peren, Nagaland",Ok,"Peren, Nagaland 797101, India",25.5379976,93.7329664,"locality, political",APPROXIMATE,India,Nagaland,"Paddy, Maize, Ginger, Banana",70.97%,28.80%,0.23%,0.07%,0.08%,99.85%,0.05%,38.95%,61%,50.57%,49.15%,0.28%,
"Phek, Nagaland",Ok,"Phek, Nagaland 797108, India",25.6645749,94.4695358,"locality, political",APPROXIMATE,India,Nagaland,"Paddy, Ginger, Maize, Soybean",2.66%,53.98%,43.36%,10.43%,51.43%,38.15%,26.43%,61.41%,12.16%,77.11%,22.75%,0.14%,
"Shamator, Nagaland","2 found, use single geocode.","Shamator, Nagaland 798612, India",26.069541,94.879612,"locality, political",APPROXIMATE,India,Nagaland,"Maize, Millet, Chilli, Ginger",0%,96.43%,3.57%,0.07%,99.93%,0%,0.86%,98.43%,0.71%,19.50%,80.50%,0%,
"Tseminyü, Nagaland",Ok,"Tseminyu, Nagaland 797109, India",25.924691,94.214881,"locality, political",APPROXIMATE,India,Nagaland,"Rice, Maize, Ginger, Tomato",3.90%,17.83%,78.27%,97.70%,2.30%,0%,5.37%,22.97%,71.67%,74.67%,25.33%,0%,
"Tuensang, Nagaland",Ok,"Tuensang, Nagaland, India",26.234793,94.811956,"locality, political",APPROXIMATE,India,Nagaland,"Paddy, Maize, Yam, Orange",0.57%,39.14%,60.29%,25.80%,49.49%,24.72%,24.28%,71.89%,3.83%,50.74%,49.26%,0%,
"Wokha, Nagaland",Ok,"Wokha, Nagaland 797111, India",26.1023895,94.2522438,"locality, political",APPROXIMATE,India,Nagaland,"Paddy, Mustard, Chilli, Ginger",72.58%,27.42%,0%,0%,0%,100%,17.45%,8.68%,73.88%,71.24%,28.76%,0%,
"Zünheboto, Nagaland",Ok,"Zunheboto, Nagaland 798620, India",26.0128579,94.5241504,"locality, political",APPROXIMATE,India,Nagaland,"Rice, Maize, Ginger, Turmeric",6.20%,79.58%,14.22%,56.14%,34.86%,9%,49.55%,48.87%,1.58%,91.22%,8.78%,0%,
"Angul, Odisha",Ok,"Angul, Odisha, India",20.8404122,85.1028982,"locality, political",APPROXIMATE,India,Odisha,"Paddy, Mustard, Groundnut, Vegetables",0.03%,10.93%,89.04%,31.84%,61.56%,6.60%,51.02%,46.06%,2.93%,30.79%,69.20%,0.01%,
"Balangir, Odisha",Ok,"Balangir, Odisha, India",20.7011108,83.4846069,"locality, political",APPROXIMATE,India,Odisha,"Paddy, Cotton, Pulses, Groundnut",0.56%,13.50%,85.95%,9.32%,77.11%,13.58%,13.58%,71.88%,14.55%,5.07%,94.91%,0.02%,
"Balasore, Odisha",Ok,"Balasore, Odisha, India",21.4933578,86.9134794,"locality, political",APPROXIMATE,India,Odisha,"Paddy, Jute, Groundnut, Vegetables",0.04%,1.44%,98.53%,20.37%,42.26%,37.37%,7.12%,71.53%,21.35%,24.32%,75.61%,0.07%,
"Bargarh, Odisha",Ok,"Bargarh, Odisha, India",21.3470154,83.6320212,"locality, political",APPROXIMATE,India,Odisha,"Paddy, Sugarcane, Cotton, Maize",0.16%,17.21%,82.63%,60.57%,24.81%,14.61%,49.46%,38.71%,11.83%,41.09%,58.85%,0.06%,
"Bhadrak, Odisha",Ok,"Bhadrak, Odisha, India",21.0573616,86.4962996,"locality, political",APPROXIMATE,India,Odisha,"Paddy, Groundnut, Vegetables, Mustard",0.35%,37.71%,61.93%,41.80%,55.13%,3.07%,15.29%,78.29%,6.42%,19.47%,80.08%,0.45%,
"Boudh, Odisha",Ok,"Baudhgarh, Odisha 762014, India",20.8418205,84.3200184,"locality, political",APPROXIMATE,India,Odisha,"Paddy, Pulses, Oilseeds, Vegetables",0.17%,20.69%,79.14%,59.07%,38.31%,2.63%,33.05%,57.84%,9.11%,13.82%,85.94%,0.24%,
"Cuttack, Odisha",Ok,"Cuttack, Odisha, India",20.462521,85.8829895,"locality, political",APPROXIMATE,India,Odisha,"Paddy, Groundnut, Vegetables, Jute",0.40%,12.65%,86.95%,32.96%,33.25%,33.79%,8.40%,66.11%,25.49%,58.98%,40.98%,0.03%,
"Deogarh, Odisha",Ok,"Deogarh, Odisha 768108, India",21.5383136,84.7289442,"locality, political",APPROXIMATE,India,Odisha,"Paddy, Maize, Mustard, Pulses",0.50%,2.67%,96.83%,1.53%,2.74%,95.73%,34.22%,58.29%,7.49%,22.97%,76.74%,0.30%,
"Dhenkanal, Odisha",Ok,"Dhenkanal, Odisha, India",20.6504753,85.5981223,"locality, political",APPROXIMATE,India,Odisha,"Paddy, Mustard, Vegetables, Pulses",0.03%,0.71%,99.26%,32.51%,47.79%,19.70%,41.26%,53.53%,5.20%,37.73%,62.26%,0.01%,
"Gajapati, Odisha",Ok,"Gajapati, Odisha, India",19.1912221,84.1857115,"administrative_area_level_3, political",APPROXIMATE,India,Odisha,"Paddy, Ragi, Ginger, Turmeric",0.34%,32.91%,66.75%,53.03%,26.03%,20.94%,29.79%,64.51%,5.70%,31.78%,68.22%,0%,
"Ganjam, Odisha","2 found, use single geocode.","Ganjam, Odisha 761026, India",19.3871214,85.0523356,"locality, political",APPROXIMATE,India,Odisha,"Paddy, Groundnut, Cotton, Vegetables",9.40%,53.99%,36.62%,21.18%,56.68%,22.13%,22.70%,60.81%,16.49%,14.29%,85.33%,0.38%,
"Jagatsinghpur, Odisha",Ok,"Jagatsinghpur, Odisha, India",20.2548998,86.1706221,"locality, political",APPROXIMATE,India,Odisha,"Paddy, Mustard, Green gram, Vegetables",0.05%,0.61%,99.34%,87.83%,11.51%,0.66%,6.43%,67.16%,26.41%,55.92%,44.07%,0.01%,
"Jajpur, Odisha",Ok,"Jajpur, Odisha, India",20.8341019,86.3326058,"locality, political",APPROXIMATE,India,Odisha,"Paddy, Vegetables, Groundnut, Mustard",0.21%,17.59%,82.19%,16.52%,40.47%,43.01%,29.22%,43.60%,27.17%,46.87%,53.10%,0.03%,
"Jharsuguda, Odisha",Ok,"Jharsuguda, Odisha, India",21.8554375,84.0061661,"locality, political",APPROXIMATE,India,Odisha,"Paddy, Maize, Pulses, Groundnut",0.05%,8.09%,91.86%,73.24%,17.37%,9.39%,71.99%,26.86%,1.14%,83.29%,16.66%,0.05%,
"Kalahandi, Odisha",Ok,"Kalahandi, Odisha, India",19.9137363,83.1649001,"administrative_area_level_3, political",APPROXIMATE,India,Odisha,"Paddy, Cotton, Maize, Pulses",1.67%,56.27%,42.05%,22.60%,76.88%,0.52%,11.00%,88.25%,0.76%,9.48%,90.41%,0.11%,
"Kandhamal, Odisha",Ok,"Kandhamal, Odisha, India",20.1342042,84.0167423,"administrative_area_level_3, political",APPROXIMATE,India,Odisha,"Ginger, Turmeric, Ragi, Paddy",0.02%,70.56%,29.42%,0.06%,72.47%,27.48%,13.09%,84.83%,2.08%,74.95%,25.02%,0.04%,
"Kendrapara, Odisha",Ok,"Kendrapara, Odisha, India",20.5035436,86.4199321,"locality, political",APPROXIMATE,India,Odisha,"Paddy, Vegetables, Groundnut, Mustard",0.06%,12.14%,87.80%,9.20%,61.85%,28.95%,11.08%,73.86%,15.06%,64.57%,35.40%,0.04%,
"Kendujhar, Odisha","2 found, use single geocode.","Keonjhar, Odisha, India",21.6393113,85.605525,"locality, political",APPROXIMATE,India,Odisha,"Paddy, Maize, Ginger, Pulses",0.13%,17.01%,82.86%,6.21%,53.29%,40.50%,10.27%,41.33%,48.41%,11.33%,88.64%,0.04%,
"Khordha, Odisha",Ok,"Khordha, Odisha, India",20.1862584,85.6222742,"locality, political",APPROXIMATE,India,Odisha,"Paddy, Groundnut, Vegetables, Pulses",1.20%,37.61%,61.19%,3.14%,19.09%,77.77%,23.23%,38.25%,38.52%,58.52%,41.17%,0.31%,
"Koraput, Odisha",Ok,"Koraput, Odisha, India",18.813487,82.7123327,"locality, political",APPROXIMATE,India,Odisha,"Paddy, Finger millet (Ragi), Turmeric, Maize",4.25%,44.79%,50.96%,7.60%,32.32%,60.08%,31.95%,59.09%,8.96%,51.78%,48.20%,0.02%,
"Malkangiri, Odisha",Ok,"Malkangiri, Odisha, India",18.3435863,81.8825279,"locality, political",APPROXIMATE,India,Odisha,"Paddy, Maize, Turmeric, Pulses",0.40%,8.37%,91.23%,75.07%,24.03%,0.90%,22.22%,69.22%,8.56%,37.94%,61.94%,0.12%,
"Mayurbhanj, Odisha",Ok,"Mayurbhanj, Odisha, India",22.0086978,86.4187308,"administrative_area_level_3, political",APPROXIMATE,India,Odisha,"Paddy, Maize, Mustard, Vegetables",11.83%,46.52%,41.65%,0.34%,8.72%,90.94%,5.85%,55.20%,38.95%,74.56%,25.38%,0.06%,
"Nabarangpur, Odisha","2 found, use single geocode.","Nowrangpur, Odisha 764059, India",19.2277163,82.5490885,"locality, political",APPROXIMATE,India,Odisha,"Paddy, Maize, Turmeric, Cotton",0.07%,0.15%,99.78%,20.46%,53.05%,26.50%,26.47%,66.95%,6.58%,48.79%,51.03%,0.18%,
"Nayagarh, Odisha",Ok,"Nayagarh, Odisha, India",20.1231332,85.1038426,"locality, political",APPROXIMATE,India,Odisha,"Paddy, Vegetables, Groundnut, Mustard",0%,1.81%,98.19%,72.21%,24.55%,3.25%,3.41%,67.38%,29.22%,17.92%,82.08%,0%,
"Nuapada, Odisha",Ok,"Nuapada, Odisha 766105, India",20.8060184,82.5361393,"locality, political",APPROXIMATE,India,Odisha,"Paddy, Maize, Turmeric, Pulses",0.02%,84.49%,15.49%,33.04%,66.89%,0.07%,0.21%,99.71%,0.08%,0.01%,99.98%,0.01%,
"Puri, Odisha",Ok,"Puri, Odisha, India",19.8134554,85.8312359,"locality, political",APPROXIMATE,India,Odisha,"Paddy, Groundnut, Mustard, Vegetables",0.29%,15.11%,84.60%,30.91%,38.66%,30.43%,7.56%,60.54%,31.90%,31.83%,68.13%,0.04%,
"Rayagada, Odisha","2 found, use single geocode.","Rayagada, Odisha, India",19.1714939,83.4116756,"locality, political",APPROXIMATE,India,Odisha,"Paddy, Ragi, Turmeric, Ginger",0.22%,49.06%,50.73%,2.66%,33.20%,64.14%,8.20%,80.88%,10.92%,23.83%,76.14%,0.04%,
"Sambalpur, Odisha",Ok,"Sambalpur, Odisha, India",21.4668716,83.9811665,"locality, political",APPROXIMATE,India,Odisha,"Paddy, Groundnut, Vegetables, Pulses",2.12%,50.58%,47.30%,42.60%,22.94%,34.46%,43.75%,41.31%,14.94%,41.50%,58.45%,0.05%,
"Subarnapur, Odisha",Ok,"Sonepur, Odisha 767017, India",20.8410126,83.8973977,"locality, political",APPROXIMATE,India,Odisha,"Paddy, Pulses, Groundnut, Vegetables",4.27%,27.18%,68.55%,69.22%,25.89%,4.89%,37.94%,51.46%,10.59%,13.66%,86.03%,0.31%,
"Sundargarh, Odisha",Ok,"Sundargarh, Odisha, India",22.120021,84.037224,"locality, political",APPROXIMATE,India,Odisha,"Paddy, Maize, Mustard, Pulses",4.95%,41.93%,53.12%,23.46%,67.51%,9.02%,28.65%,44.50%,26.85%,0.81%,99.18%,0.01%,
"Amritsar, Punjab",Ok,"Amritsar, Punjab, India",31.6339793,74.8722642,"locality, political",APPROXIMATE,India,Punjab,"Wheat, Paddy, Maize, Vegetables",0%,0%,100%,29.03%,23.66%,47.31%,27.04%,21.89%,51.06%,0%,98.46%,1.54%,
"Bathinda, Punjab",Ok,"Bathinda, Punjab, India",30.210994,74.9454745,"locality, political",APPROXIMATE,India,Punjab,"Cotton, Wheat, Paddy, Sugarcane",0%,0%,0%,0%,0%,100%,0%,0%,100%,0%,50%,50%,
"Faridkot, Punjab","2 found, use single geocode.","Faridkot, Punjab 151203, India",30.6774058,74.7539266,"locality, political",APPROXIMATE,India,Punjab,"Cotton, Wheat, Paddy, Pulses",0%,0%,0%,63.37%,25.92%,10.71%,18.90%,44.74%,36.36%,18.45%,78.28%,3.27%,
"Fatehgarh Sahib, Punjab",Ok,"Fatehgarh Sahib, Punjab, India",30.6435345,76.39703,"locality, political",APPROXIMATE,India,Punjab,"Wheat, Paddy, Sugarcane, Maize",0%,0%,0%,100%,0%,0%,0%,60%,40%,0.35%,99.65%,0%,
"Ferozepur, Punjab",Ok,"Firozpur, Punjab, India",30.9331348,74.6224755,"locality, political",APPROXIMATE,India,Punjab,"Wheat, Paddy, Cotton, Pulses",0%,0%,0%,25.75%,51.51%,22.74%,26.88%,50.75%,22.36%,0%,80.65%,19.35%,
